identifier,title,field,year,areaType,areaCode,datum,zipFileUrl,zipFileSize,zipfile_name
A21,小笠原諸島,政策区域,1980,3,13,1,http://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-80/A21-801001_13_GML.zip,1.54MB,A21-801001_13_GML.zip
A21,小笠原諸島,政策区域,1985,3,13,1,http://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-85/A21-851001_13_GML.zip,1.54MB,A21-851001_13_GML.zip
A21,小笠原諸島,政策区域,1990,3,13,1,http://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-90/A21-901001_13_GML.zip,1.54MB,A21-901001_13_GML.zip
A21,小笠原諸島,政策区域,1995,3,13,1,http://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-95/A21-951001_13_GML.zip,1.54MB,A21-951001_13_GML.zip
A21,小笠原諸島,政策区域,2000,3,13,1,http://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-00/A21-001001_13_GML.zip,1.54MB,A21-001001_13_GML.zip
A21,小笠原諸島,政策区域,2005,3,13,1,http://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-05/A21-051001_13_GML.zip,1.54MB,A21-051001_13_GML.zip
A21,小笠原諸島,政策区域,2007,3,13,1,http://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-07/A21-070402_13_GML.zip,1.54MB,A21-070402_13_GML.zip
A21s,小笠原諸島統計情報,政策区域,1995,3,13,1,http://nlftp.mlit.go.jp/ksj/gml/data/A21s/A21s-95/A21s-95_13_GML.zip,7.40MB,A21s-95_13_GML.zip
A21s,小笠原諸島統計情報,政策区域,2000,3,13,1,http://nlftp.mlit.go.jp/ksj/gml/data/A21s/A21s-00/A21s-00_13_GML.zip,7.40MB,A21s-00_13_GML.zip
A21s,小笠原諸島統計情報,政策区域,2005,3,13,1,http://nlftp.mlit.go.jp/ksj/gml/data/A21s/A21s-05/A21s-05_13_GML.zip,7.40MB,A21s-05_13_GML.zip
A21s,小笠原諸島統計情報,政策区域,2010,3,13,1,http://nlftp.mlit.go.jp/ksj/gml/data/A21s/A21s-10/A21s-10_13_GML.zip,7.40MB,A21s-10_13_GML.zip
A22,豪雪地帯,政策区域,1963,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-63/A22-631101_01_GML.zip,24.54MB,A22-631101_01_GML.zip
A22,豪雪地帯,政策区域,1965,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-65/A22-651001_01_GML.zip,24.54MB,A22-651001_01_GML.zip
A22,豪雪地帯,政策区域,1970,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-70/A22-701001_01_GML.zip,24.54MB,A22-701001_01_GML.zip
A22,豪雪地帯,政策区域,1975,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-75/A22-751001_01_GML.zip,24.50MB,A22-751001_01_GML.zip
A22,豪雪地帯,政策区域,1980,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-80/A22-801001_01_GML.zip,24.49MB,A22-801001_01_GML.zip
A22,豪雪地帯,政策区域,1985,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-85/A22-851001_01_GML.zip,24.49MB,A22-851001_01_GML.zip
A22,豪雪地帯,政策区域,1990,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-90/A22-901001_01_GML.zip,24.49MB,A22-901001_01_GML.zip
A22,豪雪地帯,政策区域,1995,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-95/A22-951001_01_GML.zip,24.49MB,A22-951001_01_GML.zip
A22,豪雪地帯,政策区域,2000,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-00/A22-001001_01_GML.zip,24.49MB,A22-001001_01_GML.zip
A22,豪雪地帯,政策区域,2005,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-05/A22-051001_01_GML.zip,24.49MB,A22-051001_01_GML.zip
A22,豪雪地帯,政策区域,2007,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-07/A22-070402_01_GML.zip,24.49MB,A22-070402_01_GML.zip
A22,豪雪地帯,政策区域,2016,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-16/A22-16_01_GML.zip,32.56MB,A22-16_01_GML.zip
A22-m,豪雪地帯（気象データ等）,政策区域,2014,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A22-m/A22-m-14/A22-m-14_01_GML.zip,67.80MB,A22-m-14_01_GML.zip
A22s,豪雪地帯統計情報,政策区域,1995,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A22s/A22s-95/A22s-95_01_GML.zip,58.74MB,A22s-95_01_GML.zip
A22s,豪雪地帯統計情報,政策区域,2000,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A22s/A22s-00/A22s-00_01_GML.zip,58.74MB,A22s-00_01_GML.zip
A22s,豪雪地帯統計情報,政策区域,2005,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A22s/A22s-05/A22s-05_01_GML.zip,60.12MB,A22s-05_01_GML.zip
